1,Unnamed: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Unnamed: 19,Engineering*,-,7.9,7.7,19.2,16.3,9.4,7.6,6.7,36.9,18.0,-,-,4.4,10.0,-,29.1,14.7,16.9,24.7,24.7,5.4,21.8,10.8,-,14.7,17.6,22.9,4.7,15.7,10.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Unnamed: 20,Fine/ Applied Arts,-,7.9,7.8,3.4,6.0,4.9,4.4,8.4,1.3,8.1,-,-,8.6,1.7,-,3.4,7.5,1.2,1.9,2.1,7.6,1.1,12.2,-,11.5,6.6,4.0,6.4,5.5,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Unnamed: 21,Health Professions*,-,5.5,16.1,2.0,3.0,1.9,3.0,2.5,4.9,4.0,-,-,3.9,19.6,-,3.9,2.9,8.1,13.9,5.0,3.4,5.3,5.4,-,3.7,4.5,1.2,4.5,3.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Unnamed: 22,Humanities,-,4.7,4.8,1.2,5.2,7.8,7.3,3.5,0.6,2.8,-,-,5.4,3.8,-,2.1,4.9,1.2,3.2,2.1,7.0,1.3,4.6,-,2.1,1.7,3.1,6.2,2.2,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Unnamed: 23,Intensive English,-,3.9,0.2,4.3,7.6,1.7,0.9,1.6,0.7,0.8,-,-,10.8,0.4,-,0.2,3.4,0.2,0.2,0.6,3.0,29.1,5.2,-,4.8,4.9,5.1,0.4,11.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Unnamed: 24,Math/ Computer Science*,-,3.0,2.4,10.6,4.0,2.9,3.6,5.6,19.8,5.5,-,-,2.9,4.6,-,7.6,4.8,12.1,6.9,9.7,5.4,8.1,5.0,-,6.0,8.0,9.6,3.1,3.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Unnamed: 25,Physical/ Life Sciences*,-,6.2,8.0,11.5,10.0,6.4,7.6,7.5,11.4,6.1,-,-,5.7,13.3,-,11.2,8.2,18.5,11.9,7.3,11.8,3.4,8.0,-,10.0,7.4,8.1,8.0,5.6,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Unnamed: 26,Social Sciences,-,10.1,12.0,7.0,10.1,8.6,12.3,13.6,3.0,7.4,-,-,13.7,9.3,-,7.7,10.0,5.6,6.8,11.6,11.5,2.3,10.1,-,7.0,6.2,12.5,17.8,6.7,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Unnamed: 27,Other Fields of Study,-,18.8,14.1,8.9,12.7,19.1,18.8,15.5,4.7,12.8,-,-,16.7,13.6,-,9.1,15.5,10.5,9.0,9.7,11.2,5.5,14.7,-,10.3,14.1,9.9,18.2,14.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Unnamed: 28,Undeclared,-,3.0,2.5,2.3,1.5,5.5,5.7,2.5,0.5,1.5,-,-,4.7,2.1,-,3.8,2.7,1.1,1.4,2.9,2.5,1.7,3.3,-,1.6,2.1,2.6,6.5,2.0,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Unnamed: 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2011/12,TOTAL STUDENTS,-,"9,029","26,821","194,029","6,295","8,232","9,347","8,032","100,270","7,131","6,982",-,"19,966",-,-,"6,743","13,893","9,621","7,028","4,600","4,805","34,139","72,295",-,"23,250","7,626","11,973","9,186","6,281","15,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Unnamed: 31,Business/ Mgmt.,-,26.3,15.4,28.7,18.6,25.6,24.2,28.5,14.1,29.0,4.1,-,19.2,-,-,18.5,22.2,20.9,16.3,19.8,29.4,15.9,16.8,-,21.3,21.1,15.2,17.8,25.6,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Unnamed: 32,Education,-,2.6,5.4,1.7,2.7,0.7,1.6,1.3,0.6,2.5,0.7,-,2.6,-,-,2.4,3.1,0.6,1.3,2.4,1.9,2.0,3.2,-,4.7,2.4,4.2,3.2,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Unnamed: 33,Engineering*,-,7.9,7.7,19.6,15.0,13.7,7.6,7.2,36.7,19.0,58.4,-,4.6,-,-,27.0,17.0,17.8,22.7,24.7,6.9,18.4,12.2,-,17.0,18.0,25.1,4.9,15.5,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Unnamed: 34,Fine/ Applied Arts,-,8.0,7.2,3.8,6.4,4.2,4.0,7.0,1.3,8.9,4.5,-,7.2,-,-,3.5,6.8,1.5,1.7,2.4,6.4,1.4,11.1,-,11.6,6.7,3.9,6.6,7.7,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Unnamed: 35,Health Professions*,-,4.1,15.8,1.5,3.0,1.4,2.0,3.6,4.8,2.9,2.2,-,3.1,-,-,3.1,3.7,8.7,14.3,4.0,3.1,4.7,4.9,-,3.8,5.4,0.7,3.4,3.2,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Unnamed: 36,Humanities,-,5.5,4.9,1.3,7.2,8.0,8.7,3.9,0.7,3.2,1.2,-,6.5,-,-,1.9,3.4,0.7,3.2,1.8,5.8,1.0,5.3,-,2.4,2.4,3.3,7.9,2.1,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Unnamed: 37,Intensive English,-,2.8,0.0,2.8,5.5,1.4,0.3,1.3,0.1,1.0,0.8,-,12.1,-,-,0.2,2.6,0.1,0.4,0.1,2.1,36.3,4.3,-,3.6,3.5,4.1,0.2,10.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Unnamed: 38,Math/ Computer Science*,-,3.2,2.7,11.2,3.4,3.9,3.8,5.8,21.7,4.8,9.5,-,2.8,-,-,8.1,3.9,11.6,7.4,9.0,6.8,6.7,5.1,-,6.2,7.5,9.7,2.5,2.9,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Unnamed: 39,Physical/ Life Sciences*,-,6.1,8.5,9.9,9.7,5.8,7.9,7.0,11.4,5.7,9.1,-,5.7,-,-,13.4,6.4,19.2,12.5,7.8,12.1,3.0,7.8,-,10.6,8.3,8.8,7.1,4.8,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Unnamed: 40,Social Sciences,-,10.8,13.8,7.7,10.4,9.2,13.1,15.0,3.2,8.6,4.3,-,13.5,-,-,8.6,8.8,5.4,7.3,11.6,10.9,2.6,11.5,-,6.8,7.2,14.4,16.8,7.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Unnamed: 41,Other Fields of Study,-,19.6,15.8,9.6,15.0,20.1,21.0,16.4,4.3,12.1,4.3,-,18.5,-,-,10.4,16.8,10.4,9.4,11.1,11.4,6.2,14.6,-,10.4,15.4,8.8,24.1,14.3,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Unnamed: 42,Undeclared,-,3.1,2.8,2.2,3.1,6.0,5.8,3.0,1.1,2.3,0.9,-,4.2,-,-,2.9,5.3,3.1,3.5,5.3,3.2,1.8,3.2,-,1.6,2.1,1.8,5.5,3.9,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Unnamed: 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2012/13,TOTAL STUDENTS,-,"10,868","27,357","235,597","6,543","8,297","9,819","8,026","96,754","7,670","8,744",-,"19,568",-,-,"6,791","14,199","8,920","7,316",-,"4,898","44,566","70,627","5,033","21,867","7,314","11,278","9,467","6,158","16,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
